Total_Population,AAWDT
11797.972850195512,2383200
14905.789950054219,513600
52266.63588703053,6627200
11581.287605559755,3359400
53336.89339368449,2289235
28214.57373246147,1752000
26652.28509019814,427146
27043.75511779976,5986500
37678.092289619824,1690290
28908.924240134063,719000
48223.83991390924,5258110
26233.280473499162,136800
39597.13343410114,1609200
52186.42643183387,2142372
22781.879587947293,1132200
10296.739166365458,814200
45080.1081326192,2493664
40558.449740413365,3817800
13473.991316991423,1948700
29882.212106923405,2244000
2818.1053363125557,1763430
24020.93609732856,450400
28340.275117471167,2299700
7218.850967699537,19200
9592.811410311175,58100
8636.283728189794,74800
6830.972408241055,837200
20502.494473104853,357500
